angry,happy ,anxious,distressed,cheerful,calm,sad,relaxed,lonely ,energetic,id
2,4,4,4,1,3,2,3,1,4,1
2,4,2,2,5,4,1,4,1,4,2
1,4,4,3,3,3,2,4,3,2,3
1,5,5,3,3,3,1,2,1,2,4
1,2,2,3,2,2,1,2,1,3,5
5,4,3,3,2,5,2,5,2,1,6
2,2,2,4,3,3,3,5,4,2,7
1,2,3,4,1,3,5,5,1,3,8
3,3,3,3,3,3,4,5,4,5,9
1,3,2,2,3,4,1,5,1,2,10
1,2,1,2,2,2,1,2,1,2,11
2,2,3,2,5,4,2,4,2,3,12
2,2,1,3,5,4,2,4,2,3,13
2,3,4,3,5,4,1,4,1,3,14
2,3,1,1,5,5,1,5,1,3,15
3,5,4,3,3,3,2,3,1,1,16
4,5,2,1,5,4,1,4,2,3,17
2,5,4,3,3,3,2,3,1,1,18
1,5,1,1,3,4,1,2,1,3,19
3,5,1,1,3,1,2,3,2,3,20
2,5,1,1,5,1,4,4,3,2,21
1,5,1,1,4,3,1,3,5,1,22
2,1,3,2,3,3,5,3,1,3,23
1,1,2,2,4,4,5,4,2,3,24
4,1,4,5,3,2,5,3,4,3,25
1,2,5,4,5,3,3,3,1,3,26
2,2,3,4,5,1,3,1,1,1,27
2,2,2,5,5,1,2,1,1,1,28
4,5,5,2,5,3,3,3,1,2,29
2,4,2,2,5,3,2,3,2,3,30
1,4,2,2,5,4,1,4,1,3,31
2,2,5,5,5,5,1,5,1,1,32
2,2,2,2,5,4,3,4,1,1,33
1,3,5,4,2,2,1,2,2,2,34
3,3,3,2,5,2,2,2,4,3,35
2,3,4,4,3,2,2,2,3,3,36
1,3,2,1,1,4,1,3,1,2,37
1,4,1,3,2,3,1,3,2,3,38
1,4,3,2,3,3,1,2,1,2,39
1,4,1,2,3,4,2,4,1,3,40
3,3,3,3,3,3,2,3,2,3,41
1,5,4,3,2,3,1,2,4,3,42
1,3,4,3,4,4,2,4,1,1,43
2,4,3,3,4,2,1,2,1,4,44
2,4,2,1,2,3,1,3,1,3,45
1,5,1,1,2,5,3,5,5,2,46
1,4,3,1,3,2,1,2,3,3,47
1,4,2,3,4,4,1,4,2,2,48
2,5,4,4,2,3,2,3,3,1,49
2,5,2,4,3,5,1,5,4,2,50
2,1,1,1,5,3,1,3,1,1,51
1,1,2,1,5,4,1,4,1,1,52
1,2,3,3,3,3,1,3,1,1,53
3,1,3,3,3,3,5,3,1,1,54
2,1,2,2,4,4,5,4,2,1,55
2,1,4,4,3,2,5,2,1,2,56
3,1,4,2,5,2,5,2,3,2,57
